mesh,genus,resolution,method,metric,error
1327299_sf,1.0,80,ndc,chf,0.0027446590542435107
1327299_sf,1.0,80,ndc,hd,0.024749653981819053
1327299_sf,1.0,80,ndc,sdf,0.0038736271329875296
1327299_sf,1.0,80,rfts,chf,0.011259298447268336
1327299_sf,1.0,80,rfts,hd,0.11925139976546657
1327299_sf,1.0,80,rfts,sdf,0.005732879366193113
1327299_sf,1.0,80,rfta,chf,0.006004755610137276
1327299_sf,1.0,80,rfta,hd,0.033675939691109755
1327299_sf,1.0,80,rfta,sdf,0.00035125459921854296
1327299_sf,1.0,100,mc,chf,0.0034448768192329887
1327299_sf,1.0,100,mc,hd,0.022724372169615745
1327299_sf,1.0,100,mc,sdf,0.007163813054518345
1327299_sf,1.0,100,ndc,chf,0.0020054298279572006
1327299_sf,1.0,100,ndc,hd,0.018723347424325004
1327299_sf,1.0,100,ndc,sdf,0.002179164288529343
1327299_sf,1.0,100,rfts,chf,0.008800054096775367
1327299_sf,1.0,100,rfts,hd,0.052135725895941266
1327299_sf,1.0,100,rfts,sdf,0.007504435704987843
1327299_sf,1.0,100,rfta,chf,0.004748219128317518
1327299_sf,1.0,100,rfta,hd,0.04116220057752388
1327299_sf,1.0,100,rfta,sdf,0.0003591648522353721
133989_sf,-16.0,6,mc,chf,0.2793954505963506
133989_sf,-16.0,6,mc,hd,0.47600551702323385
133989_sf,-16.0,6,mc,sdf,86.97732085559917
133989_sf,-16.0,6,ndc,chf,0.2804622984695949
133989_sf,-16.0,6,ndc,hd,0.5197345497685829
133989_sf,-16.0,6,ndc,sdf,51.850239996378825
133989_sf,-16.0,6,rfts,chf,0.05627587508989365
133989_sf,-16.0,6,rfts,hd,0.0977525405832063
133989_sf,-16.0,6,rfts,sdf,0.08472699524783228
133989_sf,-16.0,6,rfta,chf,0.05567087063355746
133989_sf,-16.0,6,rfta,hd,0.0905659781815383
133989_sf,-16.0,6,rfta,sdf,0.022117481989571766
133989_sf,-16.0,10,mc,chf,0.1922203881470439
133989_sf,-16.0,10,mc,hd,0.3846924466304993
133989_sf,-16.0,10,mc,sdf,33.17826316876805
133989_sf,-16.0,10,ndc,chf,0.16503610369877553
133989_sf,-16.0,10,ndc,hd,0.3627028710097475
133989_sf,-16.0,10,ndc,sdf,21.750777400608428
133989_sf,-16.0,10,rfts,chf,0.061572130241451334
133989_sf,-16.0,10,rfts,hd,0.19021134028374023
133989_sf,-16.0,10,rfts,sdf,0.25212934214187804
133989_sf,-16.0,10,rfta,chf,0.05139470085383329
133989_sf,-16.0,10,rfta,hd,0.08497226022429483
133989_sf,-16.0,10,rfta,sdf,0.007231817165100585
133989_sf,-16.0,20,mc,chf,0.0985498045734137
133989_sf,-16.0,20,mc,hd,0.2729817953450872
133989_sf,-16.0,20,mc,sdf,8.779312921301669
133989_sf,-16.0,20,ndc,chf,0.0440583066360688
133989_sf,-16.0,20,ndc,hd,0.11815451502621892
133989_sf,-16.0,20,ndc,sdf,0.9107054418788341
133989_sf,-16.0,20,rfts,chf,0.048141759826697314
133989_sf,-16.0,20,rfts,hd,0.15192829107596797
133989_sf,-16.0,20,rfts,sdf,0.17695742697734124
133989_sf,-16.0,20,rfta,chf,0.04252351791749706
133989_sf,-16.0,20,rfta,hd,0.08024285830417764
133989_sf,-16.0,20,rfta,sdf,0.003391415169760795
133989_sf,-16.0,30,mc,chf,0.05872075316748359
133989_sf,-16.0,30,mc,hd,0.22698691771470889
133989_sf,-16.0,30,mc,sdf,2.9061637145945816
133989_sf,-16.0,30,ndc,chf,0.036186598530780364
133989_sf,-16.0,30,ndc,hd,0.15761732308605828
133989_sf,-16.0,30,ndc,sdf,0.8871984723571873
133989_sf,-16.0,30,rfts,chf,0.03872481734997936
133989_sf,-16.0,30,rfts,hd,0.09867451903569838
133989_sf,-16.0,30,rfts,sdf,0.10711635152131667
133989_sf,-16.0,30,rfta,chf,0.031653316766714734
133989_sf,-16.0,30,rfta,hd,0.07448085847577493
133989_sf,-16.0,30,rfta,sdf,0.002111342478870581
133989_sf,-16.0,40,mc,chf,0.02862520151022887
133989_sf,-16.0,40,mc,hd,0.11668784364059274
133989_sf,-16.0,40,mc,sdf,0.7337246194145995
133989_sf,-16.0,40,ndc,chf,0.02467057830808002
133989_sf,-16.0,40,ndc,hd,0.1038267643901755
133989_sf,-16.0,40,ndc,sdf,0.08245498878264541
133989_sf,-16.0,40,rfts,chf,0.040646981349718364
133989_sf,-16.0,40,rfts,hd,0.1255713545252167
133989_sf,-16.0,40,rfts,sdf,0.17121095500832004
133989_sf,-16.0,40,rfta,chf,0.025360712486639125
133989_sf,-16.0,40,rfta,hd,0.06999340376416899
133989_sf,-16.0,40,rfta,sdf,0.0017988913168994014
133989_sf,-16.0,50,mc,chf,0.023721711130002585
133989_sf,-16.0,50,mc,hd,0.09633545348698282
133989_sf,-16.0,50,mc,sdf,0.6804898670709024
133989_sf,-16.0,50,ndc,chf,0.018710319666460126
133989_sf,-16.0,50,ndc,hd,0.10510745048690341
133989_sf,-16.0,50,ndc,sdf,0.3187882596851394
133989_sf,-16.0,50,rfts,chf,0.031442232076517376
133989_sf,-16.0,50,rfts,hd,0.11000063237643418
133989_sf,-16.0,50,rfts,sdf,0.07694164770061958
133989_sf,-16.0,50,rfta,chf,0.021994505364050464
133989_sf,-16.0,50,rfta,hd,0.06700341983351651
133989_sf,-16.0,50,rfta,sdf,0.001296818345617591
133989_sf,-16.0,60,mc,chf,0.01901824532091518
133989_sf,-16.0,60,mc,hd,0.08360821880107075
133989_sf,-16.0,60,mc,sdf,0.2952935354176201
133989_sf,-16.0,60,ndc,chf,0.014306419741248674
133989_sf,-16.0,60,ndc,hd,0.07485064563792582
133989_sf,-16.0,60,ndc,sdf,0.029894834161775626
133989_sf,-16.0,60,rfts,chf,0.02611688254870319
133989_sf,-16.0,60,rfts,hd,0.07614515593514258
133989_sf,-16.0,60,rfts,sdf,0.053584452512331
133989_sf,-16.0,60,rfta,chf,0.019780104463761865
133989_sf,-16.0,60,rfta,hd,0.06206999458758745
133989_sf,-16.0,60,rfta,sdf,0.0013908096792205078
133989_sf,-16.0,100,mc,chf,0.008969903587226182
133989_sf,-16.0,100,mc,hd,0.0471063819852041
133989_sf,-16.0,100,mc,sdf,0.09539986318529049
133989_sf,-16.0,100,ndc,chf,0.0067937758430684754
133989_sf,-16.0,100,ndc,hd,0.03475511939132008
133989_sf,-16.0,100,ndc,sdf,0.015270909331355553
133989_sf,-16.0,100,rfts,chf,0.021598112119514887
133989_sf,-16.0,100,rfts,hd,0.06474106748941916
133989_sf,-16.0,100,rfts,sdf,0.02653195120202288
133989_sf,-16.0,100,rfta,chf,0.017466424041544453
133989_sf,-16.0,100,rfta,hd,0.06253936457201531
133989_sf,-16.0,100,rfta,sdf,0.0016463122833038275
135793_sf,19.0,6,mc,chf,0.32173838788548553
135793_sf,19.0,6,mc,hd,0.6360267693663604
135793_sf,19.0,6,mc,sdf,71.13354803655089
135793_sf,19.0,6,ndc,chf,0.15735971727991746
135793_sf,19.0,6,ndc,hd,0.3600525671009145
135793_sf,19.0,6,ndc,sdf,13.747647147438117
135793_sf,19.0,6,rfts,chf,0.07234991986434403
135793_sf,19.0,6,rfts,hd,0.14659006478277287
135793_sf,19.0,6,rfts,sdf,0.05521919750191637
135793_sf,19.0,6,rfta,chf,0.07994865733680454
135793_sf,19.0,6,rfta,hd,0.14739640013191574
135793_sf,19.0,6,rfta,sdf,0.033701242551780065
135793_sf,19.0,10,mc,chf,0.15173055489470685
135793_sf,19.0,10,mc,hd,0.28480621433330783
135793_sf,19.0,10,mc,sdf,13.939598250558754
135793_sf,19.0,10,ndc,chf,0.07546323641056266
135793_sf,19.0,10,ndc,hd,0.23242970594597742
135793_sf,19.0,10,ndc,sdf,3.15734532837527
135793_sf,19.0,10,rfts,chf,0.0559540924156461
135793_sf,19.0,10,rfts,hd,0.10835584812823279
135793_sf,19.0,10,rfts,sdf,0.06291805030041606
135793_sf,19.0,10,rfta,chf,0.06859532609009303
135793_sf,19.0,10,rfta,hd,0.12401404235485369
135793_sf,19.0,10,rfta,sdf,0.022615124643299112
135793_sf,19.0,30,mc,chf,0.03130144379090011
135793_sf,19.0,30,mc,hd,0.12604002461997157
135793_sf,19.0,30,mc,sdf,1.2364021422195874
135793_sf,19.0,30,ndc,chf,0.025948897102840707
135793_sf,19.0,30,ndc,hd,0.12070320403536063
135793_sf,19.0,30,ndc,sdf,0.18738363275086503
135793_sf,19.0,30,rfts,chf,0.06673261967263032
135793_sf,19.0,30,rfts,hd,0.1300262493898953
135793_sf,19.0,30,rfts,sdf,0.40368935959555796
135793_sf,19.0,30,rfta,chf,0.029173022510243424
135793_sf,19.0,30,rfta,hd,0.07679176025655068
135793_sf,19.0,30,rfta,sdf,0.004485652536433174
135793_sf,19.0,40,mc,chf,0.019168529720211137
135793_sf,19.0,40,mc,hd,0.06105436744369308
135793_sf,19.0,40,mc,sdf,0.18007783541384928
135793_sf,19.0,40,ndc,chf,0.015210685567409982
135793_sf,19.0,40,ndc,hd,0.05382156283037705
135793_sf,19.0,40,ndc,sdf,0.0447344518555285
135793_sf,19.0,40,rfts,chf,0.04776128976743199
135793_sf,19.0,40,rfts,hd,0.16105222960127985
135793_sf,19.0,40,rfts,sdf,0.42595816362019323
135793_sf,19.0,40,rfta,chf,0.022305365981623373
135793_sf,19.0,40,rfta,hd,0.06398443572687598
135793_sf,19.0,40,rfta,sdf,0.0031929976295543084
135793_sf,19.0,50,mc,chf,0.014680032196273757
135793_sf,19.0,50,mc,hd,0.058041658141151586
135793_sf,19.0,50,mc,sdf,0.13312112554072383
135793_sf,19.0,50,ndc,chf,0.011974676637571624
135793_sf,19.0,50,ndc,hd,0.058262464181713054
135793_sf,19.0,50,ndc,sdf,0.021488094722408348
135793_sf,19.0,50,rfts,chf,0.08681672908644161
135793_sf,19.0,50,rfts,hd,0.31745845371230086
135793_sf,19.0,50,rfts,sdf,5.95179998197353
135793_sf,19.0,50,rfta,chf,0.018460865697917394
135793_sf,19.0,50,rfta,hd,0.06282103236165694
135793_sf,19.0,50,rfta,sdf,0.0027650429214643715
135793_sf,19.0,60,mc,chf,0.011899745836052744
135793_sf,19.0,60,mc,hd,0.057807339380570144
135793_sf,19.0,60,mc,sdf,0.07111950914254493
135793_sf,19.0,60,ndc,chf,0.008768899307058054
135793_sf,19.0,60,ndc,hd,0.04475502396206129
135793_sf,19.0,60,ndc,sdf,0.014537688390606866
135793_sf,19.0,60,rfts,chf,0.10800236851697456
135793_sf,19.0,60,rfts,hd,0.36705238657666345
135793_sf,19.0,60,rfts,sdf,10.002883959278254
135793_sf,19.0,60,rfta,chf,0.01618532041807314
135793_sf,19.0,60,rfta,hd,0.06282064951836275
135793_sf,19.0,60,rfta,sdf,0.002223597054240016
135793_sf,19.0,80,mc,chf,0.008339492009497889
135793_sf,19.0,80,mc,hd,0.05616178227614782
135793_sf,19.0,80,mc,sdf,0.027665291843392035
135793_sf,19.0,80,ndc,chf,0.006254058588222245
135793_sf,19.0,80,ndc,hd,0.0431500328150684
135793_sf,19.0,80,ndc,sdf,0.0057915383796824475
135793_sf,19.0,80,rfts,chf,0.11105820628513056
135793_sf,19.0,80,rfts,hd,0.3893596748448455
135793_sf,19.0,80,rfts,sdf,10.763636705134603
135793_sf,19.0,80,rfta,chf,0.011438727734751734
135793_sf,19.0,80,rfta,hd,0.051275224116736746
135793_sf,19.0,80,rfta,sdf,0.0012179913626182376
135793_sf,19.0,100,mc,chf,0.006753437785408702
135793_sf,19.0,100,mc,hd,0.04766767657460116
135793_sf,19.0,100,mc,sdf,0.01756243186102356
135793_sf,19.0,100,ndc,chf,0.004745899249842987
135793_sf,19.0,100,ndc,hd,0.03812427814019001
135793_sf,19.0,100,ndc,sdf,0.0030984839597023063
135793_sf,19.0,100,rfts,chf,0.07394352488635184
135793_sf,19.0,100,rfts,hd,0.31370524150592627
135793_sf,19.0,100,rfts,sdf,2.1022701515054054
135793_sf,19.0,100,rfta,chf,0.009695978817086923
135793_sf,19.0,100,rfta,hd,0.04890283176290933
135793_sf,19.0,100,rfta,sdf,0.0012828853214737186
1411692_sf,2.0,20,mc,chf,0.07545786688244316
1411692_sf,2.0,20,mc,hd,0.14292684479698856
1411692_sf,2.0,20,mc,sdf,2.0598008058706565
1411692_sf,2.0,20,ndc,chf,0.04086051685455465
1411692_sf,2.0,20,ndc,hd,0.11961111600506423
1411692_sf,2.0,20,ndc,sdf,0.39453683231639414
1411692_sf,2.0,20,rfts,chf,0.03374528415047611
1411692_sf,2.0,20,rfts,hd,0.06994144319342367
1411692_sf,2.0,20,rfts,sdf,0.0989711334188979
1411692_sf,2.0,20,rfta,chf,0.012163742415320707
1411692_sf,2.0,20,rfta,hd,0.04769358833691775
1411692_sf,2.0,20,rfta,sdf,0.0008593123106250066
1411692_sf,2.0,30,mc,chf,0.03561983185605001
1411692_sf,2.0,30,mc,hd,0.06871202069146524
1411692_sf,2.0,30,mc,sdf,0.48302947761441123
1411692_sf,2.0,30,ndc,chf,0.025013099116069755
1411692_sf,2.0,30,ndc,hd,0.05212621982944022
1411692_sf,2.0,30,ndc,sdf,0.03678088503578062
1411692_sf,2.0,30,rfts,chf,0.03316326649281408
1411692_sf,2.0,30,rfts,hd,0.06419684035688873
1411692_sf,2.0,30,rfts,sdf,0.11072945547661868
1411692_sf,2.0,30,rfta,chf,0.012987957075895562
1411692_sf,2.0,30,rfta,hd,0.0537731150695077
1411692_sf,2.0,30,rfta,sdf,0.0005103754103414835
1411692_sf,2.0,40,mc,chf,0.03589906773242874
1411692_sf,2.0,40,mc,hd,0.13060559506083427
1411692_sf,2.0,40,mc,sdf,0.8898247080741247
1411692_sf,2.0,40,ndc,chf,0.012599994256994259
1411692_sf,2.0,40,ndc,hd,0.03732222216755927
1411692_sf,2.0,40,ndc,sdf,0.017918050913342136
1411692_sf,2.0,40,rfts,chf,0.038927262623718456
1411692_sf,2.0,40,rfts,hd,0.08137142632518621
1411692_sf,2.0,40,rfts,sdf,0.09566174383101321
1411692_sf,2.0,40,rfta,chf,0.010689088497847977
1411692_sf,2.0,40,rfta,hd,0.050726190118938634
1411692_sf,2.0,40,rfta,sdf,0.00031989664436321547
1411692_sf,2.0,50,mc,chf,0.012554168343777757
1411692_sf,2.0,50,mc,hd,0.03290242474093915
1411692_sf,2.0,50,mc,sdf,0.03231951740057102
1411692_sf,2.0,50,ndc,chf,0.00644599728038756
1411692_sf,2.0,50,ndc,hd,0.02439584259558907
1411692_sf,2.0,50,ndc,sdf,0.014784542238165216
1411692_sf,2.0,50,rfts,chf,0.02396621947373541
1411692_sf,2.0,50,rfts,hd,0.08509547666378285
1411692_sf,2.0,50,rfts,sdf,0.050781877796865604
1411692_sf,2.0,50,rfta,chf,0.009098775434745502
1411692_sf,2.0,50,rfta,hd,0.039126697075755064
1411692_sf,2.0,50,rfta,sdf,0.00027056322222190063
1411692_sf,2.0,60,mc,chf,0.00906529796674151
1411692_sf,2.0,60,mc,hd,0.021832923438436763
1411692_sf,2.0,60,mc,sdf,0.024294069327474795
1411692_sf,2.0,60,ndc,chf,0.004764138620152614
1411692_sf,2.0,60,ndc,hd,0.016908649249355718
1411692_sf,2.0,60,ndc,sdf,0.00731480154814526
1411692_sf,2.0,60,rfts,chf,0.04798861897835102
1411692_sf,2.0,60,rfts,hd,0.1835973246712572
1411692_sf,2.0,60,rfts,sdf,3.2743659519812103
1411692_sf,2.0,60,rfta,chf,0.008934381570903583
1411692_sf,2.0,60,rfta,hd,0.05112535840570809
1411692_sf,2.0,60,rfta,sdf,0.00022183705950796224
1411692_sf,2.0,80,mc,chf,0.005595754328171028
1411692_sf,2.0,80,mc,hd,0.01675866721382544
1411692_sf,2.0,80,mc,sdf,0.00810391098466259
1411692_sf,2.0,80,ndc,chf,0.0024571683525996795
1411692_sf,2.0,80,ndc,hd,0.01412345245961909
1411692_sf,2.0,80,ndc,sdf,0.004221392266178293
1411692_sf,2.0,80,rfts,chf,0.02519244859921095
1411692_sf,2.0,80,rfts,hd,0.10039603137220558
1411692_sf,2.0,80,rfts,sdf,0.29015839436134844
1411692_sf,2.0,80,rfta,chf,0.00583733526718473
1411692_sf,2.0,80,rfta,hd,0.029953375933760153
1411692_sf,2.0,80,rfta,sdf,0.00018086694843576952
1450322_sf,0.0,10,mc,chf,0.12179094828693159
1450322_sf,0.0,10,mc,hd,0.1650111101022738
1450322_sf,0.0,10,mc,sdf,2.9646700703747335
1450322_sf,0.0,10,ndc,chf,0.08007842474751649
1450322_sf,0.0,10,ndc,hd,0.12412450388219874
1450322_sf,0.0,10,ndc,sdf,0.34973275335151094
1450322_sf,0.0,10,rfts,chf,0.03194286855528512
1450322_sf,0.0,10,rfts,hd,0.09227855730199398
1450322_sf,0.0,10,rfts,sdf,0.032668375337349925
1450322_sf,0.0,10,rfta,chf,0.02876658720019626
1450322_sf,0.0,10,rfta,hd,0.09912563325303364
1450322_sf,0.0,10,rfta,sdf,0.0012457047281976062
1450322_sf,0.0,20,mc,chf,0.04592262834947099
1450322_sf,0.0,20,mc,hd,0.08763307353840982
1450322_sf,0.0,20,mc,sdf,0.7796715457511002
1450322_sf,0.0,20,ndc,chf,0.034330163085224755
1450322_sf,0.0,20,ndc,hd,0.08651503626209217
1450322_sf,0.0,20,ndc,sdf,0.1452332340607152
1450322_sf,0.0,20,rfts,chf,0.02806157644565727
1450322_sf,0.0,20,rfts,hd,0.09566404493777973
1450322_sf,0.0,20,rfts,sdf,0.028232698719406188
1450322_sf,0.0,20,rfta,chf,0.027979040265628388
1450322_sf,0.0,20,rfta,hd,0.09910366761996786
1450322_sf,0.0,20,rfta,sdf,0.0026972578989134933
1450322_sf,0.0,30,mc,chf,0.02024239930956659
1450322_sf,0.0,30,mc,hd,0.046461760466918786
1450322_sf,0.0,30,mc,sdf,0.12114716414521215
1450322_sf,0.0,30,ndc,chf,0.017677847912765825
1450322_sf,0.0,30,ndc,hd,0.036410284152309895
1450322_sf,0.0,30,ndc,sdf,0.021711479307181102
1450322_sf,0.0,30,rfts,chf,0.03174817174359117
1450322_sf,0.0,30,rfts,hd,0.09225721361971259
1450322_sf,0.0,30,rfts,sdf,0.04549961610817248
1450322_sf,0.0,30,rfta,chf,0.027515038391776152
1450322_sf,0.0,30,rfta,hd,0.09929676231174749
1450322_sf,0.0,30,rfta,sdf,0.0024644810837359003
1450322_sf,0.0,40,mc,chf,0.011424274701027564
1450322_sf,0.0,40,mc,hd,0.03632330905689932
1450322_sf,0.0,40,mc,sdf,0.03282010814412952
1450322_sf,0.0,40,ndc,chf,0.009492265636256806
1450322_sf,0.0,40,ndc,hd,0.033438116604302896
1450322_sf,0.0,40,ndc,sdf,0.010276508703967097
1450322_sf,0.0,40,rfts,chf,0.02914910023347675
1450322_sf,0.0,40,rfts,hd,0.07368748382999438
1450322_sf,0.0,40,rfts,sdf,0.036664287796714136
1450322_sf,0.0,40,rfta,chf,0.027387849220000943
1450322_sf,0.0,40,rfta,hd,0.09919614507957866
1450322_sf,0.0,40,rfta,sdf,0.0021458207424292575
1450322_sf,0.0,50,mc,chf,0.007163320794143927
1450322_sf,0.0,50,mc,hd,0.02720419418991547
1450322_sf,0.0,50,mc,sdf,0.011428174459205435
1450322_sf,0.0,50,ndc,chf,0.0036030422050921506
1450322_sf,0.0,50,ndc,hd,0.013489072081736792
1450322_sf,0.0,50,ndc,sdf,0.007455543834964875
1450322_sf,0.0,50,rfts,chf,0.02522960172061522
1450322_sf,0.0,50,rfts,hd,0.06426196036301805
1450322_sf,0.0,50,rfts,sdf,0.014555170799042326
1450322_sf,0.0,50,rfta,chf,0.02621262141195457
1450322_sf,0.0,50,rfta,hd,0.09923684433504294
1450322_sf,0.0,50,rfta,sdf,0.0018710511919342145
1450322_sf,0.0,60,mc,chf,0.0054793671663787395
1450322_sf,0.0,60,mc,hd,0.023249814013129862
1450322_sf,0.0,60,mc,sdf,0.010579188924499003
1450322_sf,0.0,60,ndc,chf,0.0024871653970616903
1450322_sf,0.0,60,ndc,hd,0.010733796663978657
1450322_sf,0.0,60,ndc,sdf,0.003319963840517334
1450322_sf,0.0,60,rfts,chf,0.006578615858240785
1450322_sf,0.0,60,rfts,hd,0.021063560367855207
1450322_sf,0.0,60,rfts,sdf,0.008763670480324757
1450322_sf,0.0,60,rfta,chf,0.02691628558005892
1450322_sf,0.0,60,rfta,hd,0.09918583141473306
1450322_sf,0.0,60,rfta,sdf,0.002073692734103476
1450322_sf,0.0,80,mc,chf,0.0033116933165363866
1450322_sf,0.0,80,mc,hd,0.014316762984992928
1450322_sf,0.0,80,mc,sdf,0.003986352957413318
1450322_sf,0.0,80,ndc,chf,0.0017514417797781122
1450322_sf,0.0,80,ndc,hd,0.007290955920737114
1450322_sf,0.0,80,ndc,sdf,0.0018709050804414902
1450322_sf,0.0,80,rfts,chf,0.00312131781558768
1450322_sf,0.0,80,rfts,hd,0.015477597200028585
1450322_sf,0.0,80,rfts,sdf,0.0015997651381864536
1450322_sf,0.0,80,rfta,chf,0.003559864727466531
1450322_sf,0.0,80,rfta,hd,0.01541162021449108
1450322_sf,0.0,80,rfta,sdf,4.8501866865618975e-05
1450322_sf,0.0,100,mc,chf,0.0023114603314484962
1450322_sf,0.0,100,mc,hd,0.012309967220587118
1450322_sf,0.0,100,mc,sdf,0.0018152864776504977
1450322_sf,0.0,100,ndc,chf,0.0014156060915033477
1450322_sf,0.0,100,ndc,hd,0.006652045802707842
1450322_sf,0.0,100,ndc,sdf,0.0010073637706587008
1450322_sf,0.0,100,rfts,chf,0.01621807544924087
1450322_sf,0.0,100,rfts,hd,0.09627144187083057
1450322_sf,0.0,100,rfts,sdf,0.004149817617618518
1450322_sf,0.0,100,rfta,chf,0.002286836339376555
1450322_sf,0.0,100,rfta,hd,0.02325053570986721
1450322_sf,0.0,100,rfta,sdf,3.309031159647294e-05
1452678_sf,0.0,6,mc,chf,0.2225759786968117
1452678_sf,0.0,6,mc,hd,0.3343751285279377
1452678_sf,0.0,6,mc,sdf,28.556245845747412
1452678_sf,0.0,6,ndc,chf,0.18580634275788654
1452678_sf,0.0,6,ndc,hd,0.3369431988474407
1452678_sf,0.0,6,ndc,sdf,14.493564232557208
1452678_sf,0.0,6,rfts,chf,0.04375981968348956
1452678_sf,0.0,6,rfts,hd,0.12654423924132266
1452678_sf,0.0,6,rfts,sdf,0.0340921731774432
1452678_sf,0.0,6,rfta,chf,0.05858485439622332
1452678_sf,0.0,6,rfta,hd,0.16188064679404834
1452678_sf,0.0,6,rfta,sdf,0.04380026663413816
1452678_sf,0.0,10,mc,chf,0.07556854559328441
1452678_sf,0.0,10,mc,hd,0.14041397109853185
1452678_sf,0.0,10,mc,sdf,3.042197691570301
1452678_sf,0.0,10,ndc,chf,0.040302876223477266
1452678_sf,0.0,10,ndc,hd,0.08739749794850564
1452678_sf,0.0,10,ndc,sdf,0.4208984786372463
1452678_sf,0.0,10,rfts,chf,0.03962932158637113
1452678_sf,0.0,10,rfts,hd,0.12389201626756548
1452678_sf,0.0,10,rfts,sdf,0.05499848452417531
1452678_sf,0.0,10,rfta,chf,0.04904578335397296
1452678_sf,0.0,10,rfta,hd,0.1695648380176801
1452678_sf,0.0,10,rfta,sdf,0.02262424375608895
1452678_sf,0.0,20,mc,chf,0.028236725108927628
1452678_sf,0.0,20,mc,hd,0.0742131319101805
1452678_sf,0.0,20,mc,sdf,0.5696234153396211
1452678_sf,0.0,20,ndc,chf,0.01466956290391083
1452678_sf,0.0,20,ndc,hd,0.056087259670137286
1452678_sf,0.0,20,ndc,sdf,0.04872306398835903
1452678_sf,0.0,20,rfts,chf,0.019216254958465323
1452678_sf,0.0,20,rfts,hd,0.05297094422738026
1452678_sf,0.0,20,rfts,sdf,0.04697313183826068
1452678_sf,0.0,20,rfta,chf,0.022027955921452597
1452678_sf,0.0,20,rfta,hd,0.08028610308483988
1452678_sf,0.0,20,rfta,sdf,0.005223449156664433
1452678_sf,0.0,30,mc,chf,0.014323097840976509
1452678_sf,0.0,30,mc,hd,0.0511458758081761
1452678_sf,0.0,30,mc,sdf,0.23585994668053517
1452678_sf,0.0,30,ndc,chf,0.007622316566334256
1452678_sf,0.0,30,ndc,hd,0.03497203002527902
1452678_sf,0.0,30,ndc,sdf,0.022374976859522028
1452678_sf,0.0,30,rfts,chf,0.016536717391268864
1452678_sf,0.0,30,rfts,hd,0.05130369481032073
1452678_sf,0.0,30,rfts,sdf,0.05250792765900105
1452678_sf,0.0,30,rfta,chf,0.013678749303861891
1452678_sf,0.0,30,rfta,hd,0.05146530005380669
1452678_sf,0.0,30,rfta,sdf,0.003891887576100475
1452678_sf,0.0,40,mc,chf,0.00941262133385069
1452678_sf,0.0,40,mc,hd,0.042424933848702766
1452678_sf,0.0,40,mc,sdf,0.13910231468190956
1452678_sf,0.0,40,ndc,chf,0.0045426035927616445
1452678_sf,0.0,40,ndc,hd,0.026121638765504673
1452678_sf,0.0,40,ndc,sdf,0.016369880261513696
1452678_sf,0.0,40,rfts,chf,0.016379788252398213
1452678_sf,0.0,40,rfts,hd,0.0544161496230391
1452678_sf,0.0,40,rfts,sdf,0.052227068111100984
1452678_sf,0.0,40,rfta,chf,0.008149534672505652
1452678_sf,0.0,40,rfta,hd,0.0452744950374523
1452678_sf,0.0,40,rfta,sdf,0.0025862634555969
1452678_sf,0.0,50,mc,chf,0.0069327818296820755
1452678_sf,0.0,50,mc,hd,0.038318693886141286
1452678_sf,0.0,50,mc,sdf,0.06802615362159169
1452678_sf,0.0,50,ndc,chf,0.003441002901055156
1452678_sf,0.0,50,ndc,hd,0.019176011584857884
1452678_sf,0.0,50,ndc,sdf,0.008076655714757665
1452678_sf,0.0,50,rfts,chf,0.013123544658963801
1452678_sf,0.0,50,rfts,hd,0.055736125338893286
1452678_sf,0.0,50,rfts,sdf,0.02734295476942728
1452678_sf,0.0,50,rfta,chf,0.004886889253025757
1452678_sf,0.0,50,rfta,hd,0.03443907430321814
1452678_sf,0.0,50,rfta,sdf,0.0022902062429232236
1452678_sf,0.0,60,mc,chf,0.005501513402949543
1452678_sf,0.0,60,mc,hd,0.03144906777445132
1452678_sf,0.0,60,mc,sdf,0.05787044461906121
1452678_sf,0.0,60,ndc,chf,0.002817892159844209
1452678_sf,0.0,60,ndc,hd,0.01863818282920807
1452678_sf,0.0,60,ndc,sdf,0.006683075497901827
1452678_sf,0.0,60,rfts,chf,0.012663290056497262
1452678_sf,0.0,60,rfts,hd,0.10409880364736683
1452678_sf,0.0,60,rfts,sdf,0.07274233388593096
1452678_sf,0.0,60,rfta,chf,0.004529202077664359
1452678_sf,0.0,60,rfta,hd,0.04578052756581768
1452678_sf,0.0,60,rfta,sdf,0.0017853789402425089
1452678_sf,0.0,80,mc,chf,0.003790559909969994
1452678_sf,0.0,80,mc,hd,0.023809405940499614
1452678_sf,0.0,80,mc,sdf,0.0318955070780148
1452678_sf,0.0,80,ndc,chf,0.002137951961315519
1452678_sf,0.0,80,ndc,hd,0.010960859070561685
1452678_sf,0.0,80,ndc,sdf,0.0023482070681534258
1452678_sf,0.0,80,rfts,chf,0.008453202022531015
1452678_sf,0.0,80,rfts,hd,0.04503958332821548
1452678_sf,0.0,80,rfts,sdf,0.009059558584109704
1452678_sf,0.0,80,rfta,chf,0.003971189291484403
1452678_sf,0.0,80,rfta,hd,0.04586670710438356
1452678_sf,0.0,80,rfta,sdf,0.0022413980687301274
1452678_sf,0.0,100,mc,chf,0.0029373683362693536
1452678_sf,0.0,100,mc,hd,0.017758686785070754
1452678_sf,0.0,100,mc,sdf,0.017584188194455397
1452678_sf,0.0,100,ndc,chf,0.0019140113284172072
1452678_sf,0.0,100,ndc,hd,0.007725719630566484
