mesh,genus,resolution,method,metric,error
1001930_sf,1.0,100,rfta,sdf,0.0011397641821628422
1018276_sf,3.0,10,mc,chf,0.25299187130703876
1018276_sf,3.0,10,mc,hd,0.43261160453232705
1018276_sf,3.0,10,mc,sdf,55.89178304187789
1018276_sf,3.0,10,ndc,chf,0.47506886247608027
1018276_sf,3.0,10,ndc,hd,0.8704648728085127
1018276_sf,3.0,10,ndc,sdf,127.40504900846996
1018276_sf,3.0,10,rfts,chf,0.06827025612767204
1018276_sf,3.0,10,rfts,hd,0.17740321832000427
1018276_sf,3.0,10,rfts,sdf,0.18478841907564708
1018276_sf,3.0,10,rfta,chf,0.024951553815684195
1018276_sf,3.0,10,rfta,hd,0.06630300155580554
1018276_sf,3.0,10,rfta,sdf,0.014659979252234515
1018276_sf,3.0,20,mc,chf,0.0694492294823775
1018276_sf,3.0,20,mc,hd,0.15993958515549192
1018276_sf,3.0,20,mc,sdf,3.8481867105526364
1018276_sf,3.0,20,ndc,chf,0.03748031757014457
1018276_sf,3.0,20,ndc,hd,0.11649943839907484
1018276_sf,3.0,20,ndc,sdf,0.2879684550402872
1018276_sf,3.0,20,rfts,chf,0.04856280772816132
1018276_sf,3.0,20,rfts,hd,0.13567571108675208
1018276_sf,3.0,20,rfts,sdf,0.13939502261514425
1018276_sf,3.0,20,rfta,chf,0.00875194979832651
1018276_sf,3.0,20,rfta,hd,0.02574467156624233
1018276_sf,3.0,20,rfta,sdf,0.004280688772019073
1018276_sf,3.0,30,mc,chf,0.03450959822593379
1018276_sf,3.0,30,mc,hd,0.08521220818041135
1018276_sf,3.0,30,mc,sdf,0.9211435911609717
1018276_sf,3.0,30,ndc,chf,0.028114402290342046
1018276_sf,3.0,30,ndc,hd,0.08118907618306818
1018276_sf,3.0,30,ndc,sdf,0.4151889972974575
1018276_sf,3.0,30,rfts,chf,0.04582683502344302
1018276_sf,3.0,30,rfts,hd,0.13723252329953808
1018276_sf,3.0,30,rfts,sdf,0.14833199118088564
1018276_sf,3.0,30,rfta,chf,0.005500323424567264
1018276_sf,3.0,30,rfta,hd,0.024600639036680336
1018276_sf,3.0,30,rfta,sdf,0.001744757342122211
1018276_sf,3.0,40,mc,chf,0.01761178423709452
1018276_sf,3.0,40,mc,hd,0.05005308012738951
1018276_sf,3.0,40,mc,sdf,0.23053422916821273
1018276_sf,3.0,40,ndc,chf,0.018667320856703314
1018276_sf,3.0,40,ndc,hd,0.050116942594962965
1018276_sf,3.0,40,ndc,sdf,0.10451458945426967
1018276_sf,3.0,40,rfts,chf,0.04643981027042349
1018276_sf,3.0,40,rfts,hd,0.13560095262287658
1018276_sf,3.0,40,rfts,sdf,0.2143528629196345
1018276_sf,3.0,40,rfta,chf,0.005047899828199754
1018276_sf,3.0,40,rfta,hd,0.025667244733167623
1018276_sf,3.0,40,rfta,sdf,0.001448555109702819
